[DEBUG] 2021-05-11 16:26:59.541 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-05-11 16:26:59.548 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-05-11 16:26:59.554 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-05-11 16:26:59.682 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-05-11 16:26:59.684 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-05-11 16:26:59.896 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-05-11 16:26:59.897 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-05-11 16:26:59.901 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-05-11 16:27:00.211 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-05-11 16:27:00.233 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-05-11 16:27:00.234 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-05-11 16:27:00.256 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-05-11 16:27:00.303 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@227a47
[DEBUG] 2021-05-11 16:27:00.303 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@227a47
[DEBUG] 2021-05-11 16:27:00.303 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@227a47
[DEBUG] 2021-05-11 16:27:00.304 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@63c12e52
[DEBUG] 2021-05-11 16:27:00.304 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2849434b
[DEBUG] 2021-05-11 16:27:00.305 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@476fe690
[DEBUG] 2021-05-11 16:27:00.307 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b852b49
[DEBUG] 2021-05-11 16:27:00.307 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b852b49
[DEBUG] 2021-05-11 16:27:00.307 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5b852b49
[DEBUG] 2021-05-11 16:27:00.309 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@80bfdc6
[DEBUG] 2021-05-11 16:27:00.309 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@80bfdc6
